Title (w/ year),Country,Language,Release_Date
The Shootist (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 July 1976 (USA)
    
See more »
    
"
The Bingo Long Traveling All-Stars & Motor Kings (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 July 1977 (USA)
    
See more »
    
"
Shao Lin men (1976) ,"
Country:
Hong Kong
","
Language:
Mandarin
","
Release Date: 15 July 1976 (Hong Kong)
    
See more »
    
"
Mad Dog Morgan (1976) ,"
Country:
Australia
","
Language:
English
","
Release Date: 9 July 1976 (Australia)
    
See more »
    
"
New Fist of Fury (1976) ,"
Country:
Hong Kong
|
Taiwan
","
Language:
Mandarin
","
Release Date: 8 July 1976 (Hong Kong)
    
See more »
    
"
Gus (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 July 1976 (USA)
    
See more »
    
"
Cannonball! (1976) ,"
Country:
Hong Kong
|
USA
","
Language:
English
|
German
","
Release Date: 6 July 1976 (USA)
    
See more »
    
"
The Return of a Man Called Horse (1976) ,"
Country:
Mexico
|
USA
","
Language:
English
","
Release Date: 4 August 1976 (USA)
    
See more »
    
"
The Outlaw Josey Wales (1976) ,"
Country:
USA
","
Language:
English
|
Navajo
|
Spanish
","
Release Date: 7 August 1976 (Japan)
    
See more »
    
"
The Omen (1976) ,"
Country:
UK
|
USA
","
Language:
English
|
Latin
|
Italian
","
Release Date: 25 June 1976 (USA)
    
See more »
    
"
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson (1976) ","
Country:
USA
","
Language:
English
","
Release Date: 24 June 1976 (USA)
    
See more »
    
"
Murder by Death (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 June 1976 (USA)
    
See more »
    
"
Logan's Run (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 June 1976 (USA)
    
See more »
    
"
The Great Scout & Cathouse Thursday (1976) ,"
Country:
USA
|
Mexico
","
Language:
English
","
Release Date: 23 June 1976 (USA)
    
See more »
    
"
The Big Bus (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 October 1976 (West Germany)
    
See more »
    
"
Midway (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 June 1976 (USA)
    
See more »
    
"
The Food of the Gods (1976) ,"
Country:
USA
|
Canada
","
Language:
English
","
Release Date: 18 June 1976 (USA)
    
See more »
    
"
Silent Movie (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 June 1976 (USA)
    
See more »
    
"
Ode to Billy Joe (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 June 1976 (USA)
    
See more »
    
"
Track of the Moon Beast (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 June 1976 (USA)
    
See more »
    
"
The Little Girl Who Lives Down the Lane (1976) ,"
Country:
Switzerland
|
France
|
Canada
","
Language:
English
","
Release Date: 26 January 1977 (France)
    
See more »
    
"
Duelle (1976) ,"
Country:
France
","
Language:
French
","
Release Date: 15 September 1976 (France)
    
See more »
    
"
Bugsy Malone (1976) ,"
Country:
UK
","
Language:
English
|
Italian
|
French
","
Release Date: 15 September 1976 (USA)
    
See more »
    
"
"Mother, Jugs & Speed (1976) ","
Country:
USA
","
Language:
English
","
Release Date: 26 May 1976 (USA)
    
See more »
    
"
"Brutti, sporchi e cattivi (1976) ","
Country:
Italy
","
Language:
Italian
","
Release Date: 23 September 1976 (Italy)
    
See more »
    
"
The Tenant (1976) ,"
Country:
France
|
USA
","
Language:
French
|
English
","
Release Date: 26 May 1976 (France)
    
See more »
    
"
Mr. Klein (1976) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 23 September 1976 (Italy)
    
See more »
    
"
Embryo (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 May 1976 (USA)
    
See more »
    
"
1900 (1976) ,"
Country:
Italy
|
France
|
West Germany
","
Language:
Italian
","
Release Date: 4 November 1977 (USA)
    
See more »
    
"
The Marquise of O (1976) ,"
Country:
West Germany
|
France
","
Language:
German
","
Release Date: 27 March 2015 (USA)
    
See more »
    
"
Aces High (1976) ,"
Country:
UK
|
France
","
Language:
English
|
French
|
German
","
Release Date: December 1977 (USA)
    
See more »
    
"
L'Innocente (1976) ,"
Country:
Italy
|
France
","
Language:
Italian
","
Release Date: 11 January 1979 (USA)
    
See more »
    
"
Grizzly (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 May 1976 (USA)
    
See more »
    
"
The Missouri Breaks (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 May 1976 (USA)
    
See more »
    
"
Todo modo (1976) ,"
Country:
Italy
","
Language:
Italian
|
Latin
|
English
","
Release Date: 30 April 1976 (Italy)
    
See more »
    
"
Burnt Offerings (1976) ,"
Country:
USA
|
Italy
","
Language:
English
","
Release Date: 18 October 1976 (USA)
    
See more »
    
"
Who Can Kill a Child? (1976) ,"
Country:
Spain
","
Language:
English
|
Spanish
|
German
","
Release Date: June 1978 (USA)
    
See more »
    
"
Stay Hungry (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 May 1976 (Brazil)
    
See more »
    
"
Hollywood Boulevard (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 April 1976 (USA)
    
See more »
    
"
Master of the Flying Guillotine (1976) ,"
Country:
Hong Kong
|
Taiwan
","
Language:
Mandarin
","
Release Date: February 1977 (USA)
    
See more »
    
"
The Last Hard Men (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 June 1976 (USA)
    
See more »
    
"
Barbed Wire Dolls (1976) ,"
Country:
Switzerland
","
Language:
French
","
Release Date: 1977 (USA)
    
See more »
    
"
La dernière femme (1976) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 21 April 1976 (France)
    
See more »
    
"
High Rollers (1976) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: April 1981 (USA)
    
See more »
    
"
Shout at the Devil (1976) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: 1976 (Italy)
    
See more »
    
"
From Noon Till Three (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: August 1976 (USA)
    
See more »
    
"
Il secondo tragico Fantozzi (1976) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 15 April 1976 (Italy)
    
See more »
    
"
Sparkle (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 April 1976 (USA)
    
See more »
    
"
The Sailor Who Fell from Grace with the Sea (1976) ,"
Country:
UK
","
Language:
English
","
Release Date: 29 July 1976 (UK)
    
See more »
    
"
Operatiunea 'Monstrul' (1976) ,"
Country:
Romania
","
Language:
Romanian
","
Release Date: 5 April 1976 (Romania)
    
See more »
    
"
The Bad News Bears (1976) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 7 April 1976 (USA)
    
See more »
    
"
Face to Face (1976) ,"
Country:
Sweden
","
Language:
Swedish
","
Release Date: 5 April 1976 (USA)
    
See more »
    
"
Queen of the Gypsies (1976) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: April 1979 (USA)
    
See more »
    
"
All the President's Men (1976) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 9 April 1976 (USA)
    
See more »
    
"
Lipstick (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 April 1976 (USA)
    
See more »
    
"
The Duchess and the Dirtwater Fox (1976) ,"
Country:
USA
","
Language:
English
|
Hebrew
|
French
|
German
","
Release Date: 1 April 1976 (USA)
    
See more »
    
"
Police Python 357 (1976) ,"
Country:
France
|
West Germany
","
Language:
French
","
Release Date: February 1980 (USA)
    
See more »
    
"
"Ilsa, Harem Keeper of the Oil Sheiks (1976) ","
Country:
Canada
","
Language:
English
","
Release Date: March 1976 (USA)
    
See more »
    
"
The Slipper and the Rose: The Story of Cinderella (1976) ,"
Country:
UK
","
Language:
English
|
Latin
|
French
","
Release Date: 25 March 1976 (UK)
    
See more »
    
"
Family Plot (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 April 1976 (USA)
    
See more »
    
"
The Man Who Fell to Earth (1976) ,"
Country:
UK
","
Language:
English
","
Release Date: 8 April 1976 (Italy)
    
See more »
    
"
Small Change (1976) ,"
Country:
France
","
Language:
French
","
Release Date: 17 March 1976 (France)
    
See more »
    
"
Allegro non troppo (1976) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 27 July 1977 (USA)
    
See more »
    
"
The Twelve Tasks of Asterix (1976) ,"
Country:
France
|
UK
","
Language:
French
|
English
","
Release Date: 17 November 1976 (USA)
    
See more »
    
"
"Live Like a Cop, Die Like a Man (1976) ","
Country:
Italy
","
Language:
Italian
","
Release Date: 11 March 1976 (Italy)
    
See more »
    
"
Robin and Marian (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 March 1976 (USA)
    
See more »
    
"
Le juge et l'assassin (1976) ,"
Country:
France
","
Language:
French
","
Release Date: August 1979 (USA)
    
See more »
    
"
Je t'aime moi non plus (1976) ,"
Country:
France
","
Language:
French
","
Release Date: 10 March 1976 (France)
    
See more »
    
"
The Hunter Will Get You (1976) ,"
Country:
France
","
Language:
French
","
Release Date: June 1980 (USA)
    
See more »
    
"
Canoa: A Shameful Memory (1976) ,"
Country:
Mexico
","
Language:
Spanish
|
Nahuatl
","
Release Date: 4 March 1976 (Mexico)
    
See more »
    
"
To the Devil a Daughter (1976) ,"
Country:
UK
|
West Germany
","
Language:
English
","
Release Date: July 1976 (USA)
    
See more »
    
"
Kings of the Road (1976) ,"
Country:
West Germany
","
Language:
German
|
English
","
Release Date: January 1977 (USA)
    
See more »
    
"
La meilleure façon de marcher (1976) ,"
Country:
France
","
Language:
French
","
Release Date: 3 March 1976 (France)
    
See more »
    
"
Salon Kitty (1976) ,"
Country:
Italy
|
France
|
West Germany
","
Language:
Italian
|
German
","
Release Date: 21 January 1977 (USA)
    
See more »
    
"
In the Realm of the Senses (1976) ,"
Country:
Japan
|
France
","
Language:
Japanese
","
Release Date: 1 April 1977 (USA)
    
See more »
    
"
Sometimes (1976) ,"
Country:
India
","
Language:
Hindi
|
Urdu
","
Release Date: 27 February 1976 (India)
    
See more »
    
"
The Tough Ones (1976) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: July 1978 (USA)
    
See more »
    
"
Il soldato di ventura (1976) ,"
Country:
Italy
|
France
","
Language:
Italian
","
Release Date: 19 February 1976 (Italy)
    
See more »
    
"
The Killing of a Chinese Bookie (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 February 1976 (USA)
    
See more »
    
"
Cadaveri eccellenti (1976) ,"
Country:
Italy
|
France
","
Language:
Italian
","
Release Date: 20 February 1976 (Italy)
    
See more »
    
"
Maîtresse (1976) ,"
Country:
France
","
Language:
French
","
Release Date: 11 February 1976 (France)
    
See more »
    
"
Taxi Driver (1976) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 9 February 1976 (USA)
    
See more »
    
"
"No Deposit, No Return (1976) ","
Country:
USA
","
Language:
English
","
Release Date: 5 February 1976 (USA)
    
See more »
    
"
"Next Stop, Greenwich Village (1976) ","
Country:
USA
","
Language:
English
","
Release Date: 4 February 1976 (USA)
    
See more »
    
"
Tosun Pasa (1976) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1 February 1976 (Turkey)
    
See more »
    
"
Hababam Sinifi Sinifta Kaldi (1976) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: January 1976 (Turkey)
    
See more »
    
"
Cría Cuervos (1976) ,"
Country:
Spain
","
Language:
Spanish
","
Release Date: 18 May 1977 (USA)
    
See more »
    
"
Chhoti Si Baat (1976) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 9 January 1976 (India)
    
See more »
    
"
The Witch Who Came from the Sea (1976) ,"
Country:
USA
","
Language:
English
","
Release Date: February 1976 (USA)
    
See more »
    
"
Ates Böcegi (1975) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1975 (Turkey)
    
See more »
    
"
Ah Nerede (1975) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1975 (Turkey)
    
See more »
    
"
"Dad, Make Me Marry (1975) ","
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Hanzo (1975) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Lucky Lady (1975) ,"
Country:
USA
","
Language:
English
|
Spanish
|
French
","
Release Date: 25 December 1975 (USA)
    
See more »
    
"
Hustle (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 December 1975 (USA)
    
See more »
    
"
The Hindenburg (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 December 1975 (USA)
    
See more »
    
"
Friday Foster (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 August 1977 (Sweden)
    
See more »
    
"
Breakheart Pass (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 December 1975 (Finland)
    
See more »
    
"
Seven Beauties (1975) ,"
Country:
Italy
","
Language:
Italian
|
German
|
Neapolitan
|
Spanish
","
Release Date: 21 January 1976 (USA)
    
See more »
    
"
Carry on Behind (1975) ,"
Country:
UK
","
Language:
English
","
Release Date: 2 April 1976 (USA)
    
See more »
    
"
The Killer Elite (1975) ,"
Country:
USA
","
Language:
English
|
Mandarin
","
Release Date: 19 December 1975 (USA)
    
See more »
    
"
"Un genio, due compari, un pollo (1975) ","
Country:
Italy
|
France
|
West Germany
","
Language:
Italian
","
Release Date: 19 December 1975 (Italy)
    
See more »
    
"
Emmanuelle II (1975) ,"
Country:
France
","
Language:
French
","
Release Date: 15 December 1975 (USA)
    
See more »
    
"
The Adventure of Sherlock Holmes' Smarter Brother (1975) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 14 December 1975 (USA)
    
See more »
    
"
Barry Lyndon (1975) ,"
Country:
UK
|
USA
","
Language:
English
|
German
|
French
","
Release Date: 18 December 1975 (USA)
    
See more »
    
"
On a retrouvé la 7ème compagnie ! (1975) ,"
Country:
France
","
Language:
French
","
Release Date: 10 December 1975 (France)
    
See more »
    
"
The French Detective (1975) ,"
Country:
France
","
Language:
French
","
Release Date: 11 March 1979 (USA)
    
See more »
    
"
Släpp fångarne loss - det är vår! (1975) ,"
Country:
Sweden
","
Language:
Swedish
","
Release Date: 6 December 1975 (Sweden)
    
See more »
    
"
Jana Aranya (1975) ,"
Country:
India
","
Language:
Bengali
","
Release Date: March 1979 (USA)
    
See more »
    
"
Operation: Daybreak (1975) ,"
Country:
Czechoslovakia
|
Yugoslavia
|
USA
","
Language:
English
|
German
","
Release Date: 29 February 1976 (UK)
    
See more »
    
"
The Man Who Would Be King (1975) ,"
Country:
UK
|
USA
","
Language:
Arabic
|
English
","
Release Date: 19 December 1975 (UK)
    
See more »
    
"
Emanuelle nera (1975) ,"
Country:
Italy
|
Spain
","
Language:
Italian
","
Release Date: October 1976 (USA)
    
See more »
    
"
Le sauvage (1975) ,"
Country:
France
|
Italy
","
Language:
French
|
English
|
Spanish
","
Release Date: April 1977 (USA)
    
See more »
    
"
"Salò, or the 120 Days of Sodom (1975) ","
Country:
Italy
|
France
","
Language:
Italian
|
French
|
German
","
Release Date: 19 May 1976 (France)
    
See more »
    
"
One Flew Over the Cuckoo's Nest (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 November 1975 (USA)
    
See more »
    
"
The Adventures of the Wilderness Family (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 January 1977 (Denmark)
    
See more »
    
"
The Sunshine Boys (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 8 January 1976 (UK)
    
See more »
    
"
The Giant Spider Invasion (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: October 1975 (USA)
    
See more »
    
"
Cousin cousine (1975) ,"
Country:
France
","
Language:
French
","
Release Date: 25 July 1976 (USA)
    
See more »
    
"
It Can't Be! (1975) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 23 October 1975 (Soviet Union)
    
See more »
    
"
Rooster Cogburn (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: November 1975 (USA)
    
See more »
    
"
Incorrigible (1975) ,"
Country:
France
","
Language:
French
","
Release Date: 15 October 1975 (France)
    
See more »
    
"
Afonya (1975) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 13 October 1975 (Soviet Union)
    
See more »
    
"
Let's Do It Again (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 11 October 1975 (USA)
    
See more »
    
"
Shivers (1975) ,"
Country:
Canada
","
Language:
English
|
French
","
Release Date: 6 July 1976 (USA)
    
See more »
    
"
Lisztomania (1975) ,"
Country:
UK
","
Language:
English
","
Release Date: 29 January 1976 (Netherlands)
    
See more »
    
"
Mahogany (1975) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: March 1976 (UK)
    
See more »
    
"
Hearts of the West (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 8 October 1975 (USA)
    
See more »
    
"
The Ultimate Warrior (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 June 1976 (USA)
    
See more »
    
"
Flic Story (1975) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 1 October 1975 (France)
    
See more »
    
"
Walking Tall Part II (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 September 1975 (USA)
    
See more »
    
"
Olsen-banden på sporet (1975) ,"
Country:
Denmark
","
Language:
Danish
","
Release Date: 26 September 1975 (Denmark)
    
See more »
    
"
Take a Hard Ride (1975) ,"
Country:
Italy
|
Spain
|
USA
","
Language:
English
|
Spanish
|
Italian
","
Release Date: 29 October 1975 (USA)
    
See more »
    
"
Three Days of the Condor (1975) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 25 September 1975 (USA)
    
See more »
    
"
Black Moon (1975) ,"
Country:
France
|
West Germany
","
Language:
English
|
French
","
Release Date: 24 September 1975 (France)
    
See more »
    
"
The Story of Adele H (1975) ,"
Country:
France
","
Language:
French
|
English
","
Release Date: 8 October 1975 (France)
    
See more »
    
"
Dog Day Afternoon (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 December 1975 (USA)
    
See more »
    
"
The Lost Honor of Katharina Blum (1975) ,"
Country:
West Germany
","
Language:
German
","
Release Date: 10 October 1975 (West Germany)
    
See more »
    
"
Mitchell (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 September 1975 (USA)
    
See more »
    
"
Tarzoon: Shame of the Jungle (1975) ,"
Country:
France
|
Belgium
","
Language:
French
","
Release Date: 14 September 1979 (USA)
    
See more »
    
"
Hard Times (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 September 1975 (Netherlands)
    
See more »
    
"
Royal Flash (1975) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: August 1975 (UK)
    
See more »
    
"
The Story of O (1975) ,"
Country:
France
|
West Germany
|
Canada
","
Language:
French
|
English
|
Polish
","
Release Date: 14 November 1975 (USA)
    
See more »
    
"
Flåklypa Grand Prix (1975) ,"
Country:
Norway
","
Language:
Norwegian
","
Release Date: 28 August 1975 (Norway)
    
See more »
    
"
Strip Nude for Your Killer (1975) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 26 August 1975 (Italy)
    
See more »
    
"
The Old Gun (1975) ,"
Country:
France
|
West Germany
","
Language:
French
|
German
","
Release Date: 22 August 1975 (France)
    
See more »
    
"
Coonskin (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 August 1975 (USA)
    
See more »
    
"
Ilsa: She Wolf of the SS (1975) ,"
Country:
Canada
","
Language:
English
|
German
","
Release Date: October 1975 (USA)
    
See more »
    
"
Sholay (1975) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 15 August 1975 (India)
    
See more »
    
"
The Rocky Horror Picture Show (1975) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 31 August 1975 (Italy)
    
See more »
    
"
The Four of the Apocalypse... (1975) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 12 August 1975 (Italy)
    
See more »
    
"
Night of the Seagulls (1975) ,"
Country:
Spain
","
Language:
Spanish
","
Release Date: 1977 (USA)
    
See more »
    
"
Picnic at Hanging Rock (1975) ,"
Country:
Australia
","
Language:
English
|
French
","
Release Date: 2 February 1979 (USA)
    
See more »
    
"
"Farewell, My Lovely (1975) ","
Country:
USA
","
Language:
English
","
Release Date: 8 August 1975 (USA)
    
See more »
    
"
Infra-Man (1975) ,"
Country:
Hong Kong
","
Language:
Mandarin
|
Cantonese
","
Release Date: 1975 (USA)
    
See more »
    
"
Otobüs (1975) ,"
Country:
Switzerland
|
Turkey
","
Language:
Turkish
|
Swedish
|
German
","
Release Date: December 1977 (Turkey)
    
See more »
    
"
Xala (1975) ,"
Country:
Senegal
","
Language:
French
|
Wolof
","
Release Date: 29 December 1977 (Hungary)
    
See more »
    
"
Overlord (1975) ,"
Country:
UK
","
Language:
English
","
Release Date: 8 October 1977 (Hungary)
    
See more »
    
"
The Dragon Flies (1975) ,"
Country:
Australia
|
Hong Kong
","
Language:
Mandarin
|
English
","
Release Date: August 1975 (USA)
    
See more »
    
"
The Devil's Rain (1975) ,"
Country:
Mexico
|
USA
","
Language:
English
","
Release Date: July 1975 (USA)
    
See more »
    
"
Dersu Uzala (1975) ,"
Country:
Soviet Union
|
Japan
","
Language:
Russian
|
Chinese
","
Release Date: 20 December 1977 (USA)
    
See more »
    
"
Amici miei (1975) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 18 July 1976 (USA)
    
See more »
    
"
White Line Fever (1975) ,"
Country:
Canada
|
USA
","
Language:
English
|
French
","
Release Date: 16 July 1975 (USA)
    
See more »
    
"
Manila in the Claws of Light (1975) ,"
Country:
Philippines
","
Language:
Filipino
|
Tagalog
|
English
","
Release Date: 16 July 1975 (Philippines)
    
See more »
    
"
One of Our Dinosaurs Is Missing (1975) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 9 July 1975 (USA)
    
See more »
    
"
Mother Küsters Goes to Heaven (1975) ,"
Country:
West Germany
","
Language:
German
","
Release Date: 23 March 1976 (Denmark)
    
See more »
    
"
Bucktown (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 July 1975 (USA)
    
See more »
    
"
The Apple Dumpling Gang (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 July 1975 (USA)
    
See more »
    
"
Doc Savage: The Man of Bronze (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1975 (USA)
    
See more »
    
"
Race with the Devil (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 June 1975 (USA)
    
See more »
    
"
Rollerball (1975) ,"
Country:
UK
|
USA
|
Canada
","
Language:
English
","
Release Date: 25 June 1975 (USA)
    
See more »
    
"
The Drowning Pool (1975) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 18 July 1975 (USA)
    
See more »
    
"
Cooley High (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 July 1978 (France)
    
See more »
    
"
Mili (1975) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 20 June 1975 (India)
    
See more »
    
"
Jaws (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 June 1975 (USA)
    
See more »
    
"
Nashville (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: July 1975 (Canada)
    
See more »
    
"
Love and Death (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 July 1975 (Canada)
    
See more »
    
"
Posse (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 August 1975 (Sweden)
    
See more »
    
"
The Ghoul (1975) ,"
Country:
UK
","
Language:
English
","
Release Date: 1 June 1975 (UK)
    
See more »
    
"
India Song (1975) ,"
Country:
France
","
Language:
French
","
Release Date: 4 June 1975 (France)
    
See more »
    
"
The Hiding Place (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 February 1977 (Sweden)
    
See more »
    
"
The Wind and the Lion (1975) ,"
Country:
USA
","
Language:
English
|
German
|
French
","
Release Date: 26 June 1975 (UK)
    
See more »
    
"
The Eiger Sanction (1975) ,"
Country:
USA
","
Language:
English
|
German
","
Release Date: 21 May 1975 (USA)
    
See more »
    
"
The Return of the Pink Panther (1975) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 21 May 1975 (USA)
    
See more »
    
"
The Fortune (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: October 1975 (UK)
    
See more »
    
"
The Romantic Englishwoman (1975) ,"
Country:
UK
|
France
","
Language:
English
|
German
","
Release Date: 26 November 1975 (USA)
    
See more »
    
"
Lips of Blood (1975) ,"
Country:
France
","
Language:
French
","
Release Date: 18 May 1975 (France)
    
See more »
    
"
French Connection II (1975) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 21 May 1975 (USA)
    
See more »
    
"
Fox and His Friends (1975) ,"
Country:
West Germany
","
Language:
German
|
English
|
French
","
Release Date: 2 February 1976 (USA)
    
See more »
    
"
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles (1975) ","
Country:
Belgium
|
France
","
Language:
French
","
Release Date: 21 January 1976 (France)
    
See more »
    
"
O thiasos (1975) ,"
Country:
Greece
","
Language:
Greek
|
English
|
German
","
Release Date: 13 October 1975 (Greece)
    
See more »
    
"
Oni srazhalis za rodinu (1975) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 12 May 1975 (Soviet Union)
    
See more »
    
"
Mandingo (1975) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 25 July 1975 (USA)
    
See more »
    
"
The Day of the Locust (1975) ,"
Country:
USA
","
Language:
English
|
Spanish
|
French
|
German
","
Release Date: 12 June 1975 (UK)
    
See more »
    
"
Bizim Aile (1975) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1 May 1975 (Turkey)
    
See more »
    
"
Maggie's Stiletto Sisters (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 May 1975 (USA)
    
See more »
    
"
Hababam Sinifi (1975) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: April 1975 (Turkey)
    
See more »
    
"
Sharon's Baby (1975) ,"
Country:
UK
","
Language:
English
|
Italian
","
Release Date: 1 June 1975 (UK)
    
See more »
    
"
Death Race 2000 (1975) ,"
Country:
USA
","
Language:
English
|
Brazilian Sign Language
|
Spanish
","
Release Date: 28 November 1975 (West Germany)
    
See more »
    
"
Dolemite (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 April 1975 (USA)
    
See more »
    
"
Bite the Bullet (1975) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 25 June 1975 (USA)
    
See more »
    
"
The Reincarnation of Peter Proud (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 September 1975 (UK)
    
See more »
    
"
Section spéciale (1975) ,"
Country:
France
|
Italy
|
West Germany
","
Language:
French
|
English
|
German
","
Release Date: 23 April 1975 (France)
    
See more »
    
"
Capone (1975) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 16 April 1975 (USA)
    
See more »
    
"
Hush Hush (1975) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 11 April 1975 (India)
    
See more »
    
"
Peur sur la ville (1975) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 21 November 1975 (USA)
    
See more »
    
"
Last Stop on the Night Train (1975) ,"
Country:
Italy
|
West Germany
|
Austria
","
Language:
Italian
","
Release Date: 13 August 1976 (USA)
    
See more »
    
"
Supervixens (1975) ,"
Country:
USA
","
Language:
English
|
German
|
Swedish
|
American Sign Language
","
Release Date: 13 November 1976 (Japan)
    
See more »
    
"
Delisin (1975) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1 April 1975 (Turkey)
    
See more »
    
"
Saskin Damat (1975) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: March 1975 (Turkey)
    
See more »
    
"
